	RF	DN
384	CNA	CNA
385	C1	C1
386	C2	C2
387	C2	C2
388	CNA	C2
389	C3	C5
390	C1	C2
391	C3	C3
392	C3	C4
393	C3	C3
394	C3	C4
395	C2	C2
396	C1	C2
397	C2	C2
398	C2	C2
399	C2	C2
400	C3	C3
401	CNA	CNA
402	C4	C4
403	C3	C3
404	C3	C2
405	C2	C2
406	C3	C3
407	C1	C2
408	C2	C2
409	C3	C3
410	C2	C2
411	C4	C5
412	C1	C1
413	C2	C2
414	C2	C2
415	CNA	C3
416	C4	C4
417	C4	C4
418	C2	C2
419	C1	C1
420	C3	C3
421	C4	C4
422	C2	CNA
423	CNA	CNA
424	C2	C2
425	C4	C3
426	C1	C2
427	C3	C4
428	C2	C2
429	CNA	CNA
430	C3	C2
431	C1	C1
432	C3	C3
433	C2	C2
434	C3	C4
435	C3	C3
436	C3	C3
437	CNA	CNA
438	C1	C2
439	C4	C4
440	C3	C2
441	C3	C2
442	C1	C2
443	C3	C4
444	C4	C3
445	C3	C3
446	C4	C4
447	CNA	CNA
448	C2	C2
449	C1	C2
450	C1	C2
451	C3	C3
452	CNA	CNA
453	CNA	CNA
454	C3	C3
455	C1	C1
456	C1	C2
457	C2	C2
458	C3	C6
459	C4	C4
460	C3	C3
461	CNA	C3
462	C2	C2
463	C3	C3
464	C3	C3
465	C2	C2
466	C3	C4
467	C3	C3
468	C2	C2
469	C3	C2
470	C1	C2
471	C1	C2
472	C2	C2
473	C2	C2
474	C3	C3
475	C2	C2
476	C1	C2
477	C2	C2
478	C3	C3
479	CNA	CNA
480	C3	C3
481	C3	C3
482	C1	C2
483	C1	C2
484	C2	C2
485	CNA	CNA
486	C2	C2
487	C3	C3
488	CNA	CNA
489	C2	C2
490	C2	C2
491	CNA	C3
492	C2	C2
493	C4	C4
494	C3	C3
495	C2	C2
496	C2	C2
497	C1	C2
498	C3	C5
499	C3	C3
500	C3	C3
501	CNA	CNA
502	C2	C2
503	C3	C3
504	C2	C2
505	C3	C3
506	CNA	CNA
507	C1	C4
508	C3	C3
509	C2	C2
510	CNA	C3
511	C1	C2
512	C3	C4
513	C2	C2
514	C4	C4
515	C3	C4
516	C2	C2
517	C3	C3
518	C1	C1
519	C2	C2
520	CNA	CNA
521	CNA	C1
522	C3	C3
523	C2	C2
524	C1	C2
525	C1	C1
526	C2	C2
527	CNA	CNA
528	C2	C2
529	C2	C2
530	CNA	CNA
531	C1	C2
532	C3	C3
533	C3	C3
534	C4	C4
535	C4	C4
536	C3	C3
537	C3	C3
538	C3	C3
539	C1	C1
540	C3	C4
541	C3	C3
542	C2	C2
543	C3	C3
544	C2	C2
545	C2	C2
546	C2	C2
547	C3	C2
548	CNA	CNA
549	C2	C2
550	C2	C2
551	C2	C2
552	C1	C1
553	C2	C2
554	C3	C2
555	CNA	C2
556	C2	C2
557	C2	C2
558	CNA	C2
559	C2	C2
560	C2	C2
561	CNA	C3
562	C3	C3
563	C2	C2
564	CNA	CNA
565	C3	C3
566	C3	C4
567	C1	C1
568	C3	C3
569	C3	C3
570	C2	C2
571	CNA	C2
572	C2	C2
573	CNA	CNA
574	C3	C3
575	C2	C2
576	C3	C3
577	CNA	C2
578	CNA	CNA
579	C4	CNA
580	C3	C2
581	C1	C1
582	C2	C2
583	C2	C2
584	C2	C2
585	C2	C2
586	C3	C3
587	C2	C2
588	CNA	CNA
589	C4	C4
590	C3	C3
591	C2	C2
592	CNA	CNA
593	C2	C2
594	CNA	C2
595	C2	C2
596	C2	C2
597	C2	C2
598	C1	C4
599	C2	C2
600	C1	C2
601	C2	C2
602	C3	C3
603	C2	C1
604	C3	C4
605	CNA	C2
606	C3	C2
607	C1	C1
608	CNA	CNA
609	C3	C3
610	C4	C4
611	CNA	CNA
612	C3	C3
613	C2	C2
614	C3	C2
615	C2	C2
616	C2	C2
617	C2	C2
618	C4	C4
619	C2	C2
620	C2	C2
621	C2	C2
622	CNA	C3
623	C2	C2
624	C2	C2
625	C2	C2
626	C3	C4
627	C2	C2
628	C3	C2
629	C3	C3
630	CNA	CNA
631	CNA	C2
632	C3	C4
633	C4	C2
634	C3	C4
635	C2	C2
636	C2	C2
637	CNA	C2
638	C3	C3
639	C2	C2
640	CNA	CNA
641	CNA	CNA
642	CNA	CNA
643	C3	C3
644	C3	C4
645	C2	C1
646	C3	C3
647	C2	C2
648	C2	C2
649	C1	C2
650	C3	CNA
651	C3	C3
652	CNA	CNA
653	C1	C2
654	C3	C3
655	C2	C2
656	C1	C2
657	C3	C4
658	C1	C1
659	C3	C2
660	C2	C2
661	C3	C4
662	C2	C2
663	C3	C2
664	C2	C2
665	C3	C3
666	C1	C1
667	C1	C6
668	C1	C2
669	C2	C2
670	C2	C2
671	C1	C1
672	C2	C2
673	C2	C2
674	C3	C3
675	C3	C2
676	C2	C2
677	C3	C3
678	C2	C2
679	C3	C3
680	C3	C3
681	C2	C2
682	CNA	C3
683	C1	C1
684	C2	C2
685	C2	C2
686	C1	C2
687	C2	C4
688	C1	C2
689	C2	C2
690	CNA	CNA
691	CNA	C2
692	CNA	CNA
693	C3	C2
694	C1	C1
695	CNA	CNA
696	C3	C3
697	CNA	C3
698	C4	C4
699	C2	C2
700	C3	C5
701	CNA	CNA
702	C3	C3
703	C2	C2
704	C3	C2
705	C2	CNA
706	C3	C3
707	C3	C2
708	CNA	CNA
709	C1	C1
710	CNA	CNA
711	C3	C4
712	C2	C2
713	C2	C2
714	C3	C2
715	C2	C2
716	CNA	CNA
717	C2	C2
718	C2	C2
719	CNA	CNA
720	C1	C2
721	C3	C4
722	C3	C3
723	C1	C3
724	C3	C3
725	C3	C3
726	C3	C3
727	C1	C2
728	C2	C2
729	C3	C3
730	C3	C2
731	C3	C3
732	C3	C3
733	C4	C4
734	C4	C2
735	C3	C3
736	C2	C2
737	CNA	CNA
738	C1	C2
739	C2	C2
740	C2	C2
741	C4	C1
742	C1	C2
743	C2	C2
744	C2	C2
745	C2	C2
746	C3	C3
747	CNA	CNA
748	C2	C2
749	C3	C2
750	C2	C2
751	C3	C3
752	C3	C3
753	C3	C4
754	C2	C2
755	CNA	CNA
756	C2	C1
757	C2	C2
758	C3	C3
759	CNA	CNA
760	C2	C2
761	C2	C2
762	C3	C2
763	C3	C3
764	C3	C3
765	CNA	CNA
766	C2	C2
767	CNA	CNA
768	C2	C2
769	C3	C3
770	CNA	CNA
771	C2	C2
772	C2	C2
773	C2	C2
774	C3	C3
775	C1	C2
776	C2	C2
777	C4	C4
778	C2	C2
779	CNA	CNA
780	C2	C2
781	CNA	C2
782	C2	C2
783	C2	C2
784	C2	C2
785	CNA	C2
786	C3	C2
787	C2	C2
788	C2	C2
789	CNA	C2
790	CNA	CNA
791	C2	C2
792	C2	C2
793	C3	C3
794	C3	C3
795	C4	C4
796	C3	C4
797	C4	C4
798	C3	C3
799	C4	C4
800	C3	C3
801	C4	C4
802	C3	C2
803	C4	C4
804	C3	C3
805	C4	C3
806	C3	C3
807	C3	C3
808	C3	C3
809	C4	C3
810	C3	C3
811	C4	C4
812	C3	C3
813	C4	C4
814	C4	C4
815	C3	C3
816	C4	C3
817	C3	C3
818	C4	C3
819	C3	C3
820	C4	C3
821	C3	C4
822	C3	C4
823	C3	C3
824	C3	C3
825	C3	C3
826	C4	C4
827	C3	C3
828	C4	C2
829	C3	C4
830	C3	C4
831	C3	C3
832	C4	C4
833	C3	C4
834	C4	C4
835	C3	C2
836	C3	C4
837	C3	C4
838	C4	C4
839	C3	C4
840	C4	C4
841	C3	C3
842	C4	C4
843	C3	C2
844	C4	C4
845	C3	C2
846	C3	C3
847	C3	C3
848	C4	C2
849	C3	C3
850	C3	C3
851	C4	C3
852	C4	C3
853	C3	C3
854	C3	C3
855	C3	C4
856	C3	C3
857	C3	C2
858	C3	C3
859	C3	C4
860	C3	C4
861	C3	C3
862	C4	C3
863	C3	C3
864	C4	C4
865	C3	C3
866	C4	C4
867	C3	C2
868	C3	C3
869	C3	C4
870	C3	C2
871	C3	C3
872	C4	C4
873	C3	C3
874	C3	C4
875	C3	C2
876	C3	C4
877	C3	C3
878	C4	C4
879	C3	C3
880	C3	C3
881	C3	C3
882	C3	C4
883	C3	C3
884	C1	C1
885	C3	C3
886	C3	C4
887	C3	C3
888	C3	C3
889	C3	C3
890	C3	C2
891	C3	C3
892	C4	C4
893	C3	C3
894	C1	C1
895	C4	C3
896	C3	C2
897	C3	C3
898	CNA	C2
899	C3	C3
900	C3	C3
901	C3	C3
902	C3	C3
903	C4	C3
904	C3	C3
905	C3	C2
906	C4	C4
907	C2	C2
908	C3	C3
909	C2	C2
910	C3	C3
911	C3	C1
912	C3	C1
913	C2	C2
914	C3	C3
915	C1	C2
916	C3	C3
917	C2	C2
918	C3	C3
919	C3	C3
920	C3	C3
921	C3	C3
922	C2	C2
923	C3	C3
924	C2	C2
925	C2	C2
926	C3	C3
927	C3	C4
928	C3	C3
929	C2	C2
930	CNA	C2
931	C3	C2
932	C2	C2
933	C3	C2
934	CNA	C3
935	C2	C2
936	C1	C1
937	C3	C4
938	C3	C3
939	CNA	C6
940	CNA	C2
941	C1	C1
942	C1	C1
943	CNA	C3
944	C1	C2
945	C3	C3
946	C3	C3
947	CNA	C3
948	C1	C3
949	C3	C3
950	C2	C2
951	C1	C1
952	C2	C2
953	C2	C2
954	CNA	CNA
955	C2	C2
956	C3	C3
957	CNA	CNA
958	C2	C2
959	C3	C3
960	C3	C4
961	C3	C4
962	C3	C3
963	C2	C2
964	C1	C3
965	C1	C1
966	C2	C2
967	C2	C2
968	C2	C2
969	C4	C5
970	C3	C4
971	C3	C3
972	C3	C3
973	C2	C2
974	C4	C4
975	C2	C2
976	C1	C2
977	C2	C2
978	C3	C3
979	C3	C3
980	C2	C2
981	C3	C3
982	C3	C3
983	C3	C3
984	C3	C3
985	CNA	CNA
986	C1	C1
987	C2	C2
988	C1	C1
989	C4	C4
990	C3	C3
991	C3	C2
992	C2	C2
993	C2	C2
994	CNA	CNA
995	C1	C1
996	C4	C4
997	C3	C3
998	C2	C2
999	CNA	C6
1000	CNA	C3
1001	C3	C4
1002	CNA	C3
1003	C2	C2
1004	C3	C2
1005	C3	C3
1006	CNA	C1
1007	C3	C2
1008	C3	C3
1009	CNA	C3
1010	CNA	C2
1011	C3	C4
1012	C2	C2
1013	C3	C3
1014	CNA	CNA
1015	C3	C3
1016	C1	C1
1017	C3	C4
1018	C3	C2
1019	C3	C3
1020	C3	C1
1021	C3	C3
1022	C1	C1
1023	C2	C2
1024	C3	C3
1025	C3	C2
1026	C3	C3
1027	C3	C3
1028	CNA	CNA
1029	C2	C1
1030	C2	C1
1031	C1	C1
1032	C2	C2
1033	C2	C2
1034	C3	C2
1035	C2	C2
1036	C2	C2
1037	C3	C3
1038	CNA	C2
1039	C2	C2
1040	C2	C1
1041	C2	C2
1042	CNA	C2
1043	C4	C4
1044	C2	C2
1045	C3	C3
1046	CNA	CNA
1047	CNA	CNA
1048	C1	C2
1049	C1	C2
1050	C2	C2
1051	C3	C2
1052	C2	C2
1053	CNA	CNA
1054	C2	C2
1055	CNA	C2
1056	C3	C2
1057	CNA	CNA
1058	C2	C2
1059	C3	C2
1060	C2	C2
1061	CNA	C3
1062	C3	C2
1063	C3	C3
1064	C2	C2
1065	C1	C2
1066	C4	C3
1067	C1	C1
1068	CNA	C2
1069	C3	C3
1070	C3	C4
1071	CNA	CNA
1072	C3	C3
1073	CNA	CNA
1074	CNA	CNA
1075	C3	C3
1076	C3	C3
1077	CNA	CNA
1078	C3	C3
1079	C3	C3
1080	C6	C4
1081	CNA	C1
1082	C1	C2
1083	C3	C3
1084	C3	C3
1085	C2	C2
1086	C5	C5
1087	C2	C1
1088	C2	C2
1089	C1	C1
1090	C2	C1
1091	C2	C2
1092	C3	C3
1093	C2	C2
1094	C3	C2
1095	C1	C2
1096	C4	C4
1097	C1	C2
1098	C3	C4
1099	CNA	CNA
1100	C1	C2
1101	C2	C2
1102	C2	C2
1103	C1	C1
1104	C4	C3
1105	C1	C1
1106	C1	C1
1107	C2	C2
1108	C3	C3
1109	CNA	CNA
1110	CNA	CNA
1111	C3	C3
1112	C2	C2
1113	C4	C4
1114	C3	C4
1115	C2	C2
1116	C2	C2
1117	C1	C1
1118	C2	C2
1119	C1	C2
1120	C2	C2
1121	C2	C2
1122	C3	C3
1123	C1	C1
1124	C4	C4
1125	C3	C3
1126	CNA	CNA
1127	CNA	CNA
1128	C3	C4
1129	C3	C3
1130	CNA	C2
1131	CNA	CNA
1132	C1	C4
1133	C1	C2
1134	C2	C2
1135	C4	C3
1136	C1	C2
1137	C2	C2
1138	C2	C2
1139	C1	C2
1140	C3	C4
1141	C3	C3
1142	C2	C2
1143	CNA	CNA
1144	C2	C2
1145	CNA	CNA
1146	C3	C3
1147	CNA	CNA
1148	C3	C3
1149	C1	C2
1150	C2	C2
1151	CNA	CNA
